"","x"
"1294",16130
"1295",24816.8131639242
"1296",24993.1868360758
"1297",37673.6542443064
"1298",19976.3457556936
"1299",5460
"1300",24627.8028673835
"1301",6562.19713261649
"1302",27420
"1303",24025.3936718175
"1304",6474.60632818249
"1305",19431.5737931034
"1306",19858.4262068966
"1307",38311.3061074319
"1308",19558.6938925681
"1309",17434.7828727604
"1310",15675.2171272396
"1311",18332.6771653543
"1312",2495.43307086614
"1313",25041.8897637795
"1314",21571.1099407505
"1315",57118.8900592495
"1316",16371.125558716
"1317",16598.874441284
"1318",17580
"1319",24959.2206615315
"1320",22990.7793384685
"1321",18301.6728129482
"1322",33838.3271870518
"1323",21589.1721854305
"1324",45090.8278145695
"1325",15150
"1326",4500
"1327",0
"1328",22615
"1329",2385
"1330",0
"1331",48832.0136443662
"1332",55307.9863556338
"1333",22286.8883759966
"1334",12403.1116240034
"1335",16216.5713549717
"1336",14478.580628542
"1337",8586.50180319423
"1338",22128.3462132921
"1339",20368.5691946833
"1340",7871.43080531665
"1341",19360
"1342",1020
"1343",1020
"1344",19959.4424161965
"1345",10260.5575838035
"1346",30545.6671664168
"1347",29564.3328335832
"1348",0
"1349",62258.8223225277
"1350",8101.1776774723
"1351",8314.85843714609
"1352",14285.1415628539
"1353",26780
"1354",18004.9874055416
"1355",16155.0125944584
"1356",0
"1357",29300
"1358",-15699.4461778471
"1359",62469.4461778471
"1360",33640
"1361",0
"1362",20150
"1363",11201.8301369863
"1364",9528.1698630137
"1365",2610
"1366",22338.6276488396
"1367",9241.37235116044
"1368",37290
"1369",15797.9469976518
"1370",14942.0530023482
"1371",22020
"1372",11879.1332263242
"1373",14510.8667736758
"1374",98052.9570195952
"1375",26507.0429804048
"1376",20579.2114735658
"1377",33410.7885264342
"1378",22491.7112733171
"1379",34328.2887266829
"1380",40057.7465471287
"1381",2682.25345287133
"1382",0
"1383",0
"1384",20775.6639247944
"1385",23314.3360752056
"1386",0
"1387",75910
"1388",18359.4251683066
"1389",6493.86328327292
"1390",14646.7115484205
"1391",7900
"1392",28586.8890322581
"1393",22953.1109677419
"1394",17660.5186608123
"1395",22529.4813391877
"1396",26643.108190709
"1397",7106.89180929095
"1398",59679.2399565689
"1399",5780.76004343105
"1400",19300
"1401",27870
"1402",0
"1403",20090
"1404",23750
"1405",16537.5287601193
"1406",33902.4712398807
"1407",31888.75
"1408",10191.25
"1409",22230
"1410",14422.6362297496
"1411",27637.3637702504
"1412",27200
"1413",5015.17023959647
"1414",18894.8297604035
"1415",28435
"1416",565
"1417",0
"1418",20448.8789460602
"1419",23971.1210539398
